timestamp_utc,language_group,repository_full_name,quality_screen_status,quality_screen_pass,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_signal_snapshot_file,source_file,source_record_index
2026-04-28T19:17:01.683873+00:00,JavaScript,adam-golab/react-developer-roadmap,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\adam_golab_react_developer_roadmap_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,221
2026-04-28T19:17:08.366514+00:00,JavaScript,jonasschmedtmann/complete-javascript-course,screened,False,1,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\jonasschmedtmann_complete_javascript_course_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,251
2026-04-28T19:17:10.490726+00:00,JavaScript,wagerfield/parallax,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\wagerfield_parallax_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,262
2026-04-28T19:17:10.912367+00:00,JavaScript,ruanyf/react-demos,screened,False,1,3,quality_check_failed:recent_maintenance;quality_check_failed:issue_usage;quality_check_failed:engineering_workflow,data\raw\repo_metadata\ruanyf_react_demos_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,265
2026-04-28T19:17:12.665992+00:00,JavaScript,faressoft/terminalizer,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\faressoft_terminalizer_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,275
2026-04-28T19:17:13.381963+00:00,JavaScript,youhunwl/TVAPP,screened,False,2,3,quality_check_failed:issue_usage;quality_check_failed:engineering_workflow,data\raw\repo_metadata\youhunwl_tvapp_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,278
2026-04-28T19:17:14.050424+00:00,JavaScript,yaronn/blessed-contrib,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\yaronn_blessed_contrib_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,281
2026-04-28T19:17:14.465535+00:00,JavaScript,menzi11/BullshitGenerator,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\menzi11_bullshitgenerator_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,284
2026-04-28T19:17:15.399372+00:00,JavaScript,nswbmw/N-blog,screened,False,2,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance,data\raw\repo_metadata\nswbmw_n_blog_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,288
2026-04-28T19:17:18.464078+00:00,JavaScript,PavelDoGreat/WebGL-Fluid-Simulation,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\paveldogreat_webgl_fluid_simulation_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,304
