language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index
TypeScript,False,,,664013991,R_kgDOJ5QMpw,postiz-app,gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,📨 The ultimate agentic social media scheduling tool 🤖,TypeScript,29716,29716,5373,224,False,False,True,False,2023-07-08T17:24:22Z,2026-04-28T19:06:30Z,2026-04-27T19:43:10Z,main,gitroomhq,Organization,AGPL-3.0,data\raw\candidate_repos\typescript_candidates_raw.json,175
TypeScript,False,,,42455934,MDEwOlJlcG9zaXRvcnk0MjQ1NTkzNA==,xstate,statelyai/xstate,https://github.com/statelyai/xstate,"State machines, statecharts, and actors for complex logic",TypeScript,29555,29555,1356,132,False,False,True,False,2015-09-14T15:04:15Z,2026-04-28T13:37:29Z,2026-04-28T14:47:07Z,main,statelyai,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,176
TypeScript,False,,,918932603,R_kgDONsXMew,UI-TARS-desktop,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,TypeScript,29551,29551,2904,377,False,False,True,False,2025-01-19T09:04:43Z,2026-04-28T14:38:16Z,2026-04-28T03:32:43Z,main,bytedance,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,177
TypeScript,False,,,141104618,MDEwOlJlcG9zaXRvcnkxNDExMDQ2MTg=,Bilibili-Evolved,the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,强大的哔哩哔哩增强脚本,TypeScript,29122,29122,1752,475,False,False,True,False,2018-07-16T07:48:06Z,2026-04-28T18:29:58Z,2026-04-25T03:23:38Z,master,the1812,User,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,179
TypeScript,False,,,15225670,MDEwOlJlcG9zaXRvcnkxNTIyNTY3MA==,jitsi-meet,jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet,"Jitsi Meet - Secure, Simple and Scalable Video Conferences that you use as a standalone app or embed in your web application.",TypeScript,29095,29095,7878,240,False,False,True,False,2013-12-16T12:51:09Z,2026-04-28T15:50:31Z,2026-04-28T16:48:37Z,master,jitsi,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,180
TypeScript,False,,,124257233,MDEwOlJlcG9zaXRvcnkxMjQyNTcyMzM=,react-spring,pmndrs/react-spring,https://github.com/pmndrs/react-spring,✌️ A spring physics based React animation library,TypeScript,29077,29077,1210,137,False,False,True,False,2018-03-07T15:39:32Z,2026-04-28T18:38:47Z,2026-04-28T13:39:03Z,next,pmndrs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,181
TypeScript,False,,,360522116,MDEwOlJlcG9zaXRvcnkzNjA1MjIxMTY=,heroui,heroui-inc/heroui,https://github.com/heroui-inc/heroui,"🚀 Beautiful, fast and modern React UI library. (Previously NextUI)",TypeScript,29077,29077,2112,34,False,False,True,False,2021-04-22T13:06:23Z,2026-04-28T18:47:06Z,2026-04-28T16:59:32Z,v3,heroui-inc,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,182
TypeScript,False,,,13078968,MDEwOlJlcG9zaXRvcnkxMzA3ODk2OA==,postcss,postcss/postcss,https://github.com/postcss/postcss,Transforming styles with JS plugins,TypeScript,28971,28971,1587,28,False,False,True,False,2013-09-24T23:06:48Z,2026-04-28T16:03:26Z,2026-04-26T14:22:42Z,main,postcss,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,183
TypeScript,False,,,495836457,R_kgDOHY3dKQ,create-t3-app,t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,"The best way to start a full-stack, typesafe Next.js app ",TypeScript,28871,28871,1502,126,False,False,True,False,2022-05-24T13:31:01Z,2026-04-28T18:19:21Z,2025-12-13T10:39:23Z,main,t3-oss,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,184
TypeScript,False,,,18280236,MDEwOlJlcG9zaXRvcnkxODI4MDIzNg==,gitbook,GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,The open source frontend for GitBook doc sites,TypeScript,28805,28805,4034,92,False,False,True,False,2014-03-31T03:01:56Z,2026-04-28T18:31:17Z,2026-04-28T18:42:57Z,main,GitbookIO,Organization,GPL-3.0,data\raw\candidate_repos\typescript_candidates_raw.json,185
