repository_full_name,language_group,exclusion_reason,pre_sampling_exclusion_reasons,source_file,source_record_index
Dogfalo/materialize,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,65
Dogfalo/materialize,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,65
DavidHDev/react-bits,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,66
impress/impress.js,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,68
ToolJet/ToolJet,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,70
denysdovhan/wtfjs,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,71
denysdovhan/wtfjs,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,71
markedjs/marked,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,73
carbon-app/carbon,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,75
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,80
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,80
zenorocha/clipboard.js,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,83
gulpjs/gulp,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,86
songquanpeng/one-api,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,88
airbnb/lottie-web,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,90
parallax/jsPDF,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,91
SortableJS/Sortable,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,93
AMAI-GmbH/AI-Expert-Roadmap,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,94
AMAI-GmbH/AI-Expert-Roadmap,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,94
layui/layui,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,96
sampotts/plyr,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,99
vuejs/vue-cli,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,100
aosabook/500lines,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,101
aosabook/500lines,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,101
aosabook/500lines,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,101
elsewhencode/project-guidelines,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,102
elsewhencode/project-guidelines,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,102
standard/standard,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,103
standard/standard,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,103
immerjs/immer,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,104
tastejs/todomvc,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,105
vuejs/vuex,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,108
vuejs/vuex,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,108
digitalocean/nginxconfig.io,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,109
Z-Siqi/Clash-for-Windows_Chinese,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,112
jashkenas/backbone,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,113
jashkenas/backbone,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,113
jashkenas/backbone,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,113
michalsnik/aos,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,114
michalsnik/aos,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,114
YMFE/yapi,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,116
Asabeneh/30-Days-Of-React,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,118
Asabeneh/30-Days-Of-React,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,118
jashkenas/underscore,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,120
jashkenas/underscore,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,120
bvaughn/react-virtualized,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,124
eyaltoledano/claude-task-master,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,125
koodo-reader/koodo-reader,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,127
rstacruz/nprogress,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,132
rstacruz/nprogress,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,132
rstacruz/nprogress,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,132
haizlin/fe-interview,JavaScript,language_threshold_failed,language_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,134
haizlin/fe-interview,JavaScript,closed_issue_threshold_failed,language_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,134
select2/select2,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,135
feathericons/feather,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,136
JakeChampion/fetch,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,137
JakeChampion/fetch,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,137
vercel-labs/agent-skills,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,138
vercel-labs/agent-skills,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,138
vercel-labs/agent-skills,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,138
blackmatrix7/ios_rule_script,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,139
localForage/localForage,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,140
Modernizr/Modernizr,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,141
request/request,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,142
request/request,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,142
zhaoolee/ChromeAppHeroes,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,144
zhaoolee/ChromeAppHeroes,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,144
coreyhaines31/marketingskills,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,145
coreyhaines31/marketingskills,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,145
goldfire/howler.js,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,146
dimsemenov/PhotoSwipe,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,147
eip-work/kuboard-press,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,149
eip-work/kuboard-press,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,149
highlightjs/highlight.js,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,150
nylas/nylas-mail,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,151
nylas/nylas-mail,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,151
greensock/GSAP,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,152
hammerjs/hammer.js,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,154
hammerjs/hammer.js,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,154
ramda/ramda,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,156
pure-css/pure,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,158
processing/p5.js,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,159
jaredhanson/passport,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,161
